epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.665,0.9577,2.34206,1.02445,0.00333,1,0.01166,0.00872,0.81119,3.49477,0.96179,0.000648649,0.000648649,0.000648649
2,359.047,0.84117,1.26588,0.95402,1,0.76811,0.99483,0.7691,0.84214,2.41275,0.95635,0.00128927,0.00128927,0.00128927
3,526.517,0.82448,1.05481,0.94303,0.99776,1,0.995,0.7738,0.87532,1.05925,1.01134,0.0019035,0.0019035,0.0019035
4,698.234,0.84792,0.90555,0.95466,0.98654,1,0.995,0.71384,0.94256,0.91246,0.9802,0.0018812,0.0018812,0.0018812
5,865.261,0.82607,0.7739,0.9392,0.91705,0.89655,0.94848,0.71225,0.94572,0.99999,0.99498,0.0018416,0.0018416,0.0018416
6,1032.09,0.77991,0.66396,0.93273,0.99578,1,0.995,0.78171,0.7971,0.6226,0.93413,0.001802,0.001802,0.001802
7,1199.47,0.78984,0.6162,0.93819,0.99439,1,0.995,0.78339,0.82263,0.61075,0.93043,0.0017624,0.0017624,0.0017624
8,1372.15,0.73326,0.56321,0.9012,0.99802,1,0.995,0.81957,0.74286,0.53909,0.92175,0.0017228,0.0017228,0.0017228
9,1542.58,0.72846,0.51976,0.90541,0.9981,1,0.995,0.81562,0.71867,0.51917,0.91127,0.0016832,0.0016832,0.0016832
10,1711.84,0.69844,0.47775,0.89365,0.99905,1,0.995,0.79936,0.77282,0.4781,0.90917,0.0016436,0.0016436,0.0016436
11,1879.34,0.69856,0.46214,0.89505,0.99856,1,0.995,0.78503,0.78556,0.43629,0.92281,0.001604,0.001604,0.001604
12,2046.67,0.69076,0.44264,0.89305,0.99673,1,0.995,0.79935,0.73283,0.42463,0.91397,0.0015644,0.0015644,0.0015644
13,2212.33,0.69038,0.4314,0.89318,0.99869,1,0.995,0.80396,0.72729,0.41138,0.90904,0.0015248,0.0015248,0.0015248
14,2380.47,0.67169,0.41267,0.88486,0.9978,1,0.995,0.7955,0.76278,0.38745,0.90954,0.0014852,0.0014852,0.0014852
15,2547.24,0.70205,0.41099,0.89312,0.99796,1,0.995,0.80251,0.74276,0.4145,0.90328,0.0014456,0.0014456,0.0014456
16,2714.68,0.64952,0.39754,0.88418,0.9984,1,0.995,0.8104,0.73847,0.36691,0.90053,0.001406,0.001406,0.001406
17,2880.86,0.65635,0.37826,0.88017,0.99892,1,0.995,0.77861,0.81107,0.3788,0.93518,0.0013664,0.0013664,0.0013664
18,3048.27,0.65048,0.37436,0.87644,0.9989,1,0.995,0.82795,0.70644,0.35096,0.91342,0.0013268,0.0013268,0.0013268
19,3216.13,0.6231,0.37032,0.87654,0.9988,1,0.995,0.79944,0.76921,0.36066,0.91753,0.0012872,0.0012872,0.0012872
20,3411.24,0.652,0.37014,0.88457,0.99869,1,0.995,0.82457,0.71441,0.3419,0.91503,0.0012476,0.0012476,0.0012476
21,3588.6,0.62868,0.35782,0.86716,0.9984,1,0.995,0.8186,0.72593,0.34453,0.90764,0.001208,0.001208,0.001208
22,3779.83,0.62126,0.35724,0.85981,0.99875,1,0.995,0.80155,0.77693,0.36068,0.91956,0.0011684,0.0011684,0.0011684
23,3971.16,0.60248,0.35169,0.86831,0.99903,1,0.995,0.8153,0.71759,0.33889,0.89946,0.0011288,0.0011288,0.0011288
24,4161.38,0.59403,0.34177,0.86643,0.99923,1,0.995,0.81414,0.72294,0.36253,0.9058,0.0010892,0.0010892,0.0010892
25,4352.11,0.60003,0.34261,0.85949,0.99876,1,0.995,0.7956,0.73766,0.33248,0.91199,0.0010496,0.0010496,0.0010496
26,4543.15,0.60235,0.33057,0.86629,0.99893,1,0.995,0.82333,0.70673,0.33451,0.89761,0.00101,0.00101,0.00101
27,4731.6,0.59798,0.32758,0.86694,0.99866,1,0.995,0.80102,0.75971,0.33482,0.91331,0.0009704,0.0009704,0.0009704
28,4924.57,0.57096,0.31834,0.86027,0.99894,1,0.995,0.78199,0.80261,0.3308,0.92731,0.0009308,0.0009308,0.0009308
29,5119.66,0.60263,0.32393,0.86394,0.99895,1,0.995,0.82521,0.72448,0.32626,0.91407,0.0008912,0.0008912,0.0008912
30,5312.81,0.5623,0.30831,0.85123,0.99901,1,0.995,0.81647,0.72353,0.306,0.91106,0.0008516,0.0008516,0.0008516
31,5507.74,0.56516,0.31727,0.86017,0.99899,1,0.995,0.81713,0.68651,0.3182,0.90402,0.000812,0.000812,0.000812
32,5694.09,0.58099,0.3178,0.85898,0.99883,1,0.995,0.8199,0.69211,0.30205,0.89779,0.0007724,0.0007724,0.0007724
33,5859.7,0.53173,0.29368,0.85531,0.99887,1,0.995,0.80396,0.7421,0.31049,0.9113,0.0007328,0.0007328,0.0007328
34,6043.26,0.53929,0.30528,0.83868,0.999,1,0.995,0.79884,0.73259,0.30395,0.91143,0.0006932,0.0006932,0.0006932
35,6235.75,0.54923,0.30223,0.84126,0.999,1,0.995,0.79571,0.74832,0.31345,0.91733,0.0006536,0.0006536,0.0006536
36,6430.39,0.57113,0.29999,0.85647,0.999,1,0.995,0.8153,0.72285,0.30174,0.91292,0.000614,0.000614,0.000614
37,6608.57,0.52967,0.28659,0.84261,0.99901,1,0.995,0.81146,0.74081,0.29921,0.91859,0.0005744,0.0005744,0.0005744
38,6772.07,0.52016,0.28252,0.84656,0.99899,1,0.995,0.80416,0.69674,0.28978,0.9071,0.0005348,0.0005348,0.0005348
