epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.814,1.06142,2.20018,1.05411,0.87487,0.12057,0.3169,0.2052,0.86921,3.36407,0.94258,0.000648649,0.000648649,0.000648649
2,357.904,0.97939,1.22927,1.01572,1,0.76291,0.99483,0.75562,0.92471,2.48013,0.99076,0.00130229,0.00130229,0.00130229
3,524.968,0.99356,1.05782,1.03345,0.99636,1,0.995,0.76699,0.95843,1.23854,0.99272,0.00194274,0.00194274,0.00194274
4,692.382,0.96669,0.92535,1.01058,1,0.99429,0.995,0.71846,1.04374,0.94324,1.02271,0.0019406,0.0019406,0.0019406
5,859.379,0.93726,0.80683,1.00724,0.99851,1,0.995,0.75266,0.91173,0.88632,0.99629,0.0019208,0.0019208,0.0019208
6,1026.97,0.95628,0.72873,1.00903,0.99858,1,0.995,0.72452,0.93059,0.6537,0.98724,0.001901,0.001901,0.001901
7,1195.56,0.92988,0.65273,1.00223,0.99543,1,0.995,0.76719,0.84862,0.58356,0.9499,0.0018812,0.0018812,0.0018812
8,1361.83,0.90696,0.61183,0.9869,0.99871,1,0.995,0.78647,0.82323,0.56606,0.94585,0.0018614,0.0018614,0.0018614
9,1528.69,0.89625,0.5841,0.99188,0.99674,1,0.995,0.75068,0.88504,0.53729,0.96094,0.0018416,0.0018416,0.0018416
10,1695.22,0.89601,0.58469,0.99105,0.99904,1,0.995,0.72799,0.92992,0.5177,1.00065,0.0018218,0.0018218,0.0018218
11,1862.77,0.86654,0.53767,0.97705,0.99876,1,0.995,0.77806,0.85719,0.49346,0.94074,0.001802,0.001802,0.001802
12,2033.01,0.87213,0.52303,0.9624,0.9982,1,0.995,0.78672,0.79793,0.49281,0.94999,0.0017822,0.0017822,0.0017822
13,2200.94,0.88221,0.53397,0.98326,0.99816,1,0.995,0.80545,0.74799,0.46431,0.92415,0.0017624,0.0017624,0.0017624
14,2370.15,0.8902,0.51366,0.97646,0.9985,1,0.995,0.77432,0.80689,0.42853,0.93749,0.0017426,0.0017426,0.0017426
15,2537.81,0.82401,0.49347,0.95213,0.99812,1,0.995,0.79645,0.79741,0.42746,0.92269,0.0017228,0.0017228,0.0017228
16,2705.55,0.86588,0.49514,0.97468,0.98275,0.98247,0.99382,0.80191,0.74429,0.47266,0.91453,0.001703,0.001703,0.001703
17,2872.59,0.85214,0.50512,0.96469,0.99542,0.96552,0.99383,0.75981,0.84688,0.49486,0.94841,0.0016832,0.0016832,0.0016832
18,3041.11,0.85671,0.48372,0.96427,0.91718,0.76387,0.85187,0.64175,0.97597,0.86814,1.00807,0.0016634,0.0016634,0.0016634
19,3209.2,0.80485,0.45809,0.94298,0.99859,1,0.995,0.75893,0.87764,0.38784,0.94019,0.0016436,0.0016436,0.0016436
20,3376.57,0.82918,0.45992,0.94865,0.99854,1,0.995,0.74386,0.89249,0.39694,0.96598,0.0016238,0.0016238,0.0016238
21,3544.79,0.84348,0.45931,0.95709,0.99868,1,0.995,0.77604,0.83949,0.39647,0.93473,0.001604,0.001604,0.001604
22,3711.08,0.82306,0.45807,0.94576,0.99818,1,0.995,0.76518,0.85575,0.38019,0.94648,0.0015842,0.0015842,0.0015842
23,3878.17,0.83031,0.46079,0.9584,0.99748,1,0.995,0.79992,0.79175,0.39648,0.92714,0.0015644,0.0015644,0.0015644
24,4045.91,0.77071,0.43839,0.94063,0.99858,1,0.995,0.77686,0.83073,0.37864,0.92629,0.0015446,0.0015446,0.0015446
25,4212.94,0.80938,0.43048,0.9426,0.99837,1,0.995,0.80562,0.75313,0.38124,0.91479,0.0015248,0.0015248,0.0015248
26,4379.76,0.7853,0.42609,0.9416,0.99776,0.98276,0.99306,0.78785,0.85021,0.39817,0.94006,0.001505,0.001505,0.001505
27,4546.04,0.81781,0.44897,0.94656,1,0.98156,0.99451,0.79832,0.73922,0.39764,0.9212,0.0014852,0.0014852,0.0014852
