epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.108,0.94736,2.11362,1,0.00333,1,0.09532,0.07986,0.77246,3.30795,0.89881,0.000648649,0.000648649,0.000648649
2,342.207,0.89481,1.18548,0.97414,1,0.86337,0.995,0.77428,0.77485,2.50449,0.95261,0.00130229,0.00130229,0.00130229
3,514.964,0.87939,1.00566,0.98415,1,0.99898,0.995,0.78129,0.84513,1.60267,0.9868,0.00194274,0.00194274,0.00194274
4,1004.41,0.86028,0.87235,0.95943,0.9983,1,0.995,0.78251,0.82186,0.91449,1.00924,0.0019406,0.0019406,0.0019406
5,1180.48,0.82431,0.75292,0.95154,0.99747,1,0.995,0.77247,0.78802,0.76237,0.9548,0.0019208,0.0019208,0.0019208
6,1352.45,0.83114,0.68372,0.95648,0.9984,1,0.995,0.80165,0.76814,0.62296,0.91781,0.001901,0.001901,0.001901
7,1569.53,0.81574,0.6326,0.94577,0.99704,1,0.995,0.81847,0.74328,0.62837,0.93224,0.0018812,0.0018812,0.0018812
8,1741.52,0.79954,0.58775,0.94506,0.9976,1,0.995,0.7994,0.75124,0.53128,0.92513,0.0018614,0.0018614,0.0018614
9,1916.29,0.76355,0.5555,0.93693,0.99883,1,0.995,0.7757,0.76319,0.50654,0.96041,0.0018416,0.0018416,0.0018416
10,2090.73,0.78566,0.53294,0.94343,0.99894,1,0.995,0.80591,0.75007,0.48117,0.9207,0.0018218,0.0018218,0.0018218
11,2265.3,0.78003,0.51213,0.93846,0.99866,1,0.995,0.81735,0.74382,0.4584,0.92379,0.001802,0.001802,0.001802
12,2441.68,0.76162,0.49196,0.92311,0.99707,1,0.995,0.80901,0.78389,0.48646,0.94533,0.0017822,0.0017822,0.0017822
13,2616.54,0.76737,0.49446,0.94045,0.99867,1,0.995,0.82299,0.70791,0.4193,0.91987,0.0017624,0.0017624,0.0017624
14,2791.44,0.7445,0.46532,0.93183,0.99678,1,0.995,0.81261,0.73559,0.44528,0.92611,0.0017426,0.0017426,0.0017426
15,2966.31,0.71214,0.45748,0.91462,0.99886,1,0.995,0.79845,0.75931,0.42542,0.9277,0.0017228,0.0017228,0.0017228
16,3142.14,0.72287,0.46216,0.92854,0.91564,0.93578,0.97953,0.74042,0.96589,0.53165,1.00121,0.001703,0.001703,0.001703
17,3317.03,0.71526,0.44734,0.91585,0.99845,0.98276,0.99392,0.8292,0.70669,0.40641,0.92434,0.0016832,0.0016832,0.0016832
18,3492.55,0.70782,0.44403,0.90864,0.99874,1,0.995,0.82102,0.73656,0.39175,0.91797,0.0016634,0.0016634,0.0016634
19,3668.18,0.67922,0.42019,0.89284,0.99882,1,0.995,0.80058,0.77184,0.39053,0.93989,0.0016436,0.0016436,0.0016436
20,3843.21,0.68222,0.42132,0.90503,0.99833,1,0.995,0.81134,0.72715,0.35839,0.91274,0.0016238,0.0016238,0.0016238
21,4018.17,0.69347,0.42236,0.90734,0.98796,1,0.995,0.8193,0.72621,0.38788,0.9207,0.001604,0.001604,0.001604
22,4192.65,0.68374,0.41049,0.9043,0.99869,1,0.995,0.8011,0.75897,0.37311,0.927,0.0015842,0.0015842,0.0015842
23,4369.07,0.6746,0.41441,0.903,0.99897,1,0.995,0.82971,0.69893,0.35976,0.90778,0.0015644,0.0015644,0.0015644
24,4543.9,0.67097,0.40776,0.89692,0.99891,1,0.995,0.80049,0.76581,0.36863,0.92464,0.0015446,0.0015446,0.0015446
25,4718.5,0.66837,0.39468,0.89997,0.99837,1,0.995,0.78216,0.81334,0.38247,0.95607,0.0015248,0.0015248,0.0015248
26,4893.52,0.65619,0.38348,0.89777,0.99899,1,0.995,0.81415,0.7101,0.33983,0.90551,0.001505,0.001505,0.001505
27,5068.39,0.68215,0.39421,0.90456,0.99884,1,0.995,0.8371,0.66282,0.33917,0.89514,0.0014852,0.0014852,0.0014852
28,5244.16,0.64525,0.38586,0.89427,0.99882,1,0.995,0.83723,0.69494,0.34373,0.90823,0.0014654,0.0014654,0.0014654
29,5419.16,0.65083,0.39305,0.89224,0.99894,1,0.995,0.82137,0.69014,0.34044,0.91015,0.0014456,0.0014456,0.0014456
30,5594.74,0.63724,0.38558,0.88872,0.99892,1,0.995,0.82397,0.69321,0.33802,0.90568,0.0014258,0.0014258,0.0014258
31,5771.81,0.63991,0.37352,0.88917,0.99886,1,0.995,0.82788,0.69957,0.32061,0.91186,0.001406,0.001406,0.001406
32,5948.83,0.64402,0.37587,0.89141,0.99882,1,0.995,0.82481,0.67955,0.32911,0.89908,0.0013862,0.0013862,0.0013862
33,6129.85,0.62582,0.36811,0.88684,0.99868,1,0.995,0.8325,0.69999,0.3316,0.90963,0.0013664,0.0013664,0.0013664
34,6312.85,0.61497,0.36706,0.88963,0.99612,1,0.995,0.80987,0.70076,0.34126,0.90832,0.0013466,0.0013466,0.0013466
35,6493.91,0.6025,0.3523,0.87222,0.99883,1,0.995,0.81395,0.71706,0.33669,0.92014,0.0013268,0.0013268,0.0013268
36,6675.4,0.62483,0.36018,0.88802,0.99899,1,0.995,0.81314,0.72249,0.33519,0.92283,0.001307,0.001307,0.001307
37,6856.77,0.61227,0.354,0.88552,0.99898,1,0.995,0.8459,0.6778,0.31821,0.90862,0.0012872,0.0012872,0.0012872
38,7036.45,0.59669,0.35449,0.87616,0.99896,1,0.995,0.8249,0.66831,0.32066,0.89744,0.0012674,0.0012674,0.0012674
39,7218.04,0.60119,0.34871,0.8773,0.99672,1,0.995,0.81883,0.65357,0.31328,0.89558,0.0012476,0.0012476,0.0012476
