epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.965,1.34771,2.37669,1.24008,0.00333,1,0.85791,0.50462,1.25529,3.19596,1.13155,0.000648649,0.000648649,0.000648649
2,379.368,1.205,1.34988,1.15419,1,0.73194,0.99483,0.63848,1.21569,2.53258,1.14096,0.00130663,0.00130663,0.00130663
3,565.28,1.21271,1.1793,1.15138,0.98848,0.98276,0.99483,0.68147,1.06641,1.38075,1.06936,0.00195582,0.00195582,0.00195582
4,759.721,1.20742,1.06258,1.1333,0.99415,1,0.995,0.69027,1.06942,0.93057,1.09774,0.0019604,0.0019604,0.0019604
5,942.814,1.17427,0.91065,1.12047,0.86374,0.96552,0.96655,0.72486,0.88003,1.19364,0.96978,0.0019472,0.0019472,0.0019472
6,1145.03,1.16313,0.83794,1.11024,0.97705,1,0.99449,0.69929,1.10169,1.52048,1.06738,0.001934,0.001934,0.001934
7,1329.65,1.14516,0.78631,1.13415,0.99765,1,0.995,0.77672,0.89325,0.64131,1.00137,0.0019208,0.0019208,0.0019208
8,1507.23,1.15857,0.76108,1.1011,0.99713,1,0.995,0.73743,0.94594,0.64647,0.98032,0.0019076,0.0019076,0.0019076
9,1686.08,1.1507,0.73908,1.11945,0.99833,1,0.995,0.63605,1.32597,0.6912,1.12485,0.0018944,0.0018944,0.0018944
10,1863.88,1.13795,0.72289,1.12695,0.99912,1,0.995,0.67764,1.13282,0.61711,1.05059,0.0018812,0.0018812,0.0018812
11,2043.06,1.1249,0.67659,1.10782,0.9968,1,0.995,0.80225,0.7646,0.53224,0.93868,0.001868,0.001868,0.001868
12,2223.26,1.10849,0.66476,1.10662,0.99845,1,0.995,0.66132,1.11046,0.51314,1.041,0.0018548,0.0018548,0.0018548
13,2403.29,1.10778,0.66977,1.11177,0.99477,1,0.995,0.74707,1.01273,0.64231,1.03796,0.0018416,0.0018416,0.0018416
14,2582.43,1.12221,0.66677,1.1167,0.99018,1,0.995,0.77661,0.84968,0.561,0.98915,0.0018284,0.0018284,0.0018284
15,2760.19,1.11983,0.66848,1.1115,0.99783,1,0.995,0.68813,1.01773,0.50715,1.04519,0.0018152,0.0018152,0.0018152
16,2937.92,1.08992,0.64988,1.08303,0.99775,1,0.995,0.78172,0.8232,0.45917,0.95291,0.001802,0.001802,0.001802
